	mhe_zhang	hiv_noguerajulian	hiv_lozupone	t1d_alkanani	edd_singh	crc_chen	asd_son	cdi_youngster	crc_zeller	ra_scher	ibd_papa	hiv_dinh	ob_zhu	crc_baxter	ob_turnbaugh	crc_zackular	cdi_schubert	par_scheperjans	crc_wang	ibd_willing	ibd_morgan	ibd_gevers	ob_zupancic	nash_zhu	cdi_vincent	ob_ross	t1d_mejialeon	ob_goodrich	asd_kang	nash_wong
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum								0.731941613375																						
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	0.926463853491	-0.448824320866	0.20551717682			-0.632206239027		0.692093483543	0.873779967608	0.703182099323	0.439789890735			-0.744178968257		0.892775922639						-0.801636895991				0.897173911806		-0.587468137577		
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.85885538595	-0.569762471392			0.000135491701321	-0.961488989035		0.0415417023367	0.636278357878		0.275560548179		0.750946114173	0.487095426206	0.203806908537	-1.0	3.80322206596e-10		0.000596199207657	0.923058363697	0.771338931561	0.596881534232		0.58321374227	0.0114754990703	-0.897173911806	-0.836936864108	-0.893431206362	-0.981844043128	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Tetragenococcus					4.2311001819e-05												6.15276829635e-05				0.283640999332				0.604322683344					
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Vagococcus														-0.532523663572								0.627892045397								
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.575232004346	0.895566140417	-0.556786286742	0.171793775209	0.326017543794	0.603219537368	-0.749570310038	0.206242192596	-0.799002474677	-0.724408719205	0.813782340664	0.803363997435	0.156093757498	0.303197748745	0.00256296111181	-0.78200289075	6.65253256062e-09	0.0164862090422	0.234151787111	0.743403130977	0.387656158226	0.049487713618		0.0266522067486	-0.977206399476	-0.897173911806	0.650217529762	0.331289153733	0.713415282118	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus								0.554014482198	-0.444963594398		0.828371172859			0.404302886705		-0.78200289075	0.0619938763308				0.570611465235	0.615201114726			0.341056595453					
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc		0.776095603243				0.5096350838			-0.809090682687				0.0303655853769	0.90796723071		1.0	-0.834379243632				-0.0811695525682	0.485434300854		0.0141908190498				-0.700050174566		
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella	0.940191738101	-0.742069112603	-0.768771555275		0.696537443886	0.954176488923			0.806476679444				0.0912959166901	0.293819065199	0.974994960107	0.823441786929	0.945391061537					0.691624395054		0.00691204993849	-0.341056595453	-0.667152967175		0.0328194551594		
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus		0.623107413077	0.684972473523		0.0440433830623	0.5096350838	0.861614211077	0.731941613375	-0.840311928214		-0.813782340664		-0.539911038368	0.82776880828	-0.679242224489	0.881369035681	-0.358481316291	-0.912263019086		-0.923058363697	-0.181773888518	0.642537097878		0.22777350703	0.459491611938	-0.667152967175	-0.629450844741	-0.83060404354		
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.321671475835	0.947683695064	0.574322523213	0.633234365857	0.000245062396033	-0.540471911434	0.733663543955	0.554014482198	-0.0971538913055	0.472411626797	0.24239821028	0.56245768861	-0.312906261846	0.408166297475	0.146304213747	0.951867750001	0.000972385979051	1.0	0.17153318114	0.986516064731	0.676720708409	0.352402720134	0.967348487294	0.809566702519	-0.810589159947	0.897173911806	0.489786421629	0.0186004547709	0.713728951437	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__Natranaerovirga		0.579352104564									0.335764120417																			
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Anaerobacter		0.223005328346																												
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Anaerosporobacter			-0.0881002686754	0.567237279847				-0.00194075025809	0.804128767017				-0.125452290267	-0.830593552919		-0.78200289075						-0.00898597544958		-0.0563134671981				-0.272903358505		
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto	0.940191738101	-0.137779779153	-0.578878176095	0.697074585079	0.956036659322	0.813532381146	-0.733663543955	0.817777399107	-0.727980234526	-0.957745959842	0.782957188316	0.715466477084	-0.425938652969	0.838168395368	-0.722691621475	1.0	0.0163173298716	-0.209028178821	-0.932455476665	0.923058363697	0.665207576943	0.801636895991	-0.967348487294	-0.297375558741	-0.890543601092	0.667152967175	-0.710715769169	-0.181504291897		
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Oxobacter														-0.82776880828																
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Sarcina		0.623107413077					-0.901020228435				-0.24239821028		0.603642779525	0.829981744934		0.78200289075	0.63370361007				0.634095943568	0.790962772758		0.497753058025				0.973047367516		
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_2;g__Natronincola									-0.602200705651																			-0.587468137577		
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_4;g__Caminicella									-0.811285125688																					
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_Incertae_Sedis_XI;g__Anaerococcus			0.258052370671		0.980845911111	-0.813532381146		0.731941613375	0.804128767017				0.00265831125333	0.000390224720164		1.0	0.247570374477					0.528314599467		0.000249921410586	-0.00510507990629			0.195003205774		
