Dataset,Taxonomic Level,Traita,Taxonomyb,BMI              p valuec,BMI               q valued,Direction of association (Higher in)e,Permutation p valuef,Ag,A 95% CIh,Ci,C 95% CIj,Ek,E 95% CIl,rMZm,rDZn,2*(rMZ-rDZ)o,,,
TwinsUK,OTU,197004,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.0003178,0.004012222,Obese,0.0772,0.098637043,(0?0.23),1.43E-14,(0?0.13),0.901362957,(0.77?1),0.13868971,-0.002169171,0.281717763,,,
TwinsUK,OTU,819353,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.000325977,0.004059078,Lean,0.04,0.315404525,(0.03?0.43),1.74E-16,(0?0.21),0.684595475,(0.57?0.81),0.343630509,0.126721615,0.433817787,,,
TwinsUK,Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.g__,NA,0.000367254,0.004511267,Lean,0.4516,0.02457828,(0?0.27),0.104497264,(0?0.21),0.870924456,(0.73?0.97),0.129086789,0.120408261,0.017357057,,,
TwinsUK,OTU,180042,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.000377829,0.004579283,Lean,0.315,0.096589108,(0?0.27),0.045337443,(0?0.21),0.858073449,(0.73?0.98),0.148509691,0.092723092,0.111573198,,,
TwinsUK,OTU,216710,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.00040376,0.004816193,Lean,0.3029,0.062213944,(0?0.18),1.95E-11,(0?0.13),0.937786056,(0.82?1),0.083631482,0.007250542,0.15276188,,,
TwinsUK,Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea,NA,0.000415226,0.004816193,Obese,0.4735,0.006354707,(0?0.24),0.098310947,(0?0.2),0.895334346,(0.76?0.99),0.106465398,0.10068495,0.011560897,,,
TwinsUK,Genus,k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__,NA,0.000418569,0.004816193,Lean,0.5186,3.34E-11,(0?0.29),0.197038494,(0?0.29),0.802961506,(0.71?0.9),0.162989272,0.217513764,-0.109048983,,,
TwinsUK,Family,k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae,NA,0.000418271,0.004816193,Lean,1,0,(0?0),0.196985542,(0.1?0.29),0.803014458,(0.71?0.9),0.162985973,0.217416585,-0.108861223,,,
TwinsUK,OTU,194733,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.000480155,0.005455767,Obese,0.234,0.150502442,(0?0.28),0.00792654,(0?0.2),0.841571018,(0.72?0.97),0.1714935,0.079753516,0.183479967,,,
TwinsUK,OTU,2835813,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.000494113,0.005545046,Lean,0.0206,0.230015696,(0?0.35),3.18E-14,(0?0.18),0.769984304,(0.65?0.9),0.262278104,0.06844832,0.387659568,,,
TwinsUK,OTU,197698,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.00054646,0.005925379,Lean,0.2926,0.112678713,(0?0.3),0.049203651,(0?0.22),0.838117636,(0.7?0.96),0.156759621,0.10886147,0.095796304,,,
TwinsUK,OTU,204126,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.00054756,0.005925379,Lean,0.5001,3.82E-10,(0?0),0.021459188,(0?0.12),0.978540811,(0.86?1),-0.013773506,0.045856613,-0.119260237,,,
TwinsUK,OTU,178478,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.000536006,0.005925379,Lean,0.6972,5.87E-13,(0?0.23),0.098929738,(0?0.19),0.901070262,(0.77?1),0.077116924,0.111836794,-0.069439741,,,
TwinsUK,OTU,194597,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.000565864,0.006051416,Lean,0.01,0.229093575,(0.01?0.35),2.56E-13,(0?0),0.770906425,(0.65?0.9),0.272783162,0.048677934,0.448210456,,,
TwinsUK,OTU,197864,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.000595696,0.006296364,Obese,0.2368,0.138477682,(0?0.26),0.000626391,(0?0.19),0.860895926,(0.74?0.99),0.148110185,0.069524608,0.157171154,,,
TwinsUK,OTU,332929,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.000667073,0.006969759,Obese,0.4068,0.042653959,(0?0.2),0.024056317,(0?0.15),0.933289724,(0.8?1),0.069729677,0.046390329,0.046678697,,,
TwinsUK,OTU,183681,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.000687328,0.007099787,Lean,0.0796,0.274987921,(0?0.4),0.010998206,(0?0.27),0.714013873,(0.6?0.85),0.292394156,0.149010498,0.286767315,,,
TwinsUK,OTU,193191,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__,0.0007017,0.007166797,Lean,0.3197,0.094941654,(0?0.26),0.039734579,(0?0.2),0.865323767,(0.74?0.98),0.147048192,0.083208184,0.127680017,,,
TwinsUK,OTU,571642,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.000722149,0.007293706,Lean,1,0,(0?0),0.141152469,(0?0.23),0.858847531,(0.66?0.95),0.214249955,0.091397007,0.245705895,,,
